ID;SITE_NOM;SITE_TYPE;I_ACCES;I_MODAL;I_TARIF;BORNE_TYPE;P_DOMESTIC;P_MODE2;CH_LENTE;CH_RAPIDE;CH_ACCELER;INVEST;MAJ_DATE;X_CC48;Y_CC48;X_WGS84;Y_WGS84
fre-213502388-35238-bornerechargeelectrique-001;Parking Gare Sud;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge lente;0;2;oui;non;non;Rennes Métropole;20120620;1352201,50;7221901,10;-1,67307;48,10215
fre-213502388-35238-bornerechargeelectrique-002;Parking Gare Sud;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge rapide;0;2;oui;oui;non;Rennes Métropole;20120620;1352175,50;7221925,30;-1,67344;48,10235
fre-213502388-35238-bornerechargeelectrique-003;Parking Kléber;parking payant;accès public;badge d'accès;gratuit (provisoire);borne;0;2;oui;non;non;Rennes Métropole;20120620;1352228,20;7222866,10;-1,67349;48,11082
fre-213502388-35238-bornerechargeelectrique-004;Parking Hoche;parking payant;accès public;badge d'accès;gratuit (provisoire);borne;0;2;oui;non;non;Rennes Métropole;20120620;1351992,30;7223398,20;-1,67709;48,11547
fre-213502388-35238-bornerechargeelectrique-005;Parking Chézy-Dinan;parking payant;accès public;badge d'accès;gratuit (provisoire);borne;0;2;oui;non;non;Rennes Métropole;20120620;1351300,10;7223222,60;-1,68623;48,11352
fre-213502388-35238-bornerechargeelectrique-006;Parking Charles De Gaulle;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge rapide;0;2;oui;oui;non;Rennes Métropole;20120620;1351924,50;7222363,30;-1,67716;48,10615
fre-213502388-35238-bornerechargeelectrique-007;Parking Charles De Gaulle;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge lente;0;2;oui;non;non;Rennes Métropole;20120620;1351939,60;7222364,80;-1,67696;48,10617
fre-213502388-35238-bornerechargeelectrique-008;Dupont des Loges;espace privé;accès réservé;personnel autorisé;gratuit;borne;0;1;oui;non;non;Ville de Rennes;20120620;1352720,30;7222574,90;-1,66666;48,10848
fre-213502388-35238-bornerechargeelectrique-009;Hôtel d'agglomération;espace privé;accès réservé;personnel autorisé;gratuit;prise domestique;1;0;oui;non;non;Rennes Métropole;20120620;1351992,00;7220911,50;-1,67507;48,09315
fre-213502388-35238-bornerechargeelectrique-010;CCAS;espace privé;accès réservé;personnel autorisé;gratuit;borne;0;2;oui;non;non;Ville de Rennes;20120620;1351476,50;7222930,80;-1,68362;48,11100
fre-213502388-35238-bornerechargeelectrique-011;CCAS;espace privé;accès réservé;personnel autorisé;gratuit;borne;0;2;oui;non;non;Ville de Rennes;20120620;1351472,90;7222931,30;-1,68367;48,11100
fre-213502388-35238-bornerechargeelectrique-012;Viarmes;espace privé;accès réservé;personnel autorisé;gratuit;borne;0;2;oui;non;non;Ville de Rennes;20120620;1352467,70;7222932,70;-1,67034;48,11155
fre-213502388-35238-bornerechargeelectrique-013;Renault Rennes Longchamps;espace privé;accès réservé clientèle;réservé à la clientèle;gratuit;borne;0;2;oui;non;oui;Renault;20120620;1354974,40;7224894,30;-1,63832;48,13052
fre-213502388-35238-bornerechargeelectrique-014;Renault Rennes Longchamps;espace privé;accès réservé clientèle;réservé à la clientèle;gratuit;borne;0;2;oui;non;oui;Renault;20120620;1355055,50;7224955,60;-1,63728;48,13112
fre-213502388-35238-bornerechargeelectrique-015;Centre commercial Alma;espace public;accès public;réservé à la clientèle;gratuit;borne;2;0;oui;non;non;Unibail;20120620;1351738,10;7219729,00;-1,67751;48,08239
