service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","0","0","0","0","0","1","20121112","20121223"
"10","1","0","0","0","0","0","0","20121112","20121223"
"11","0","1","0","0","0","0","0","20121112","20121223"
"12","0","1","0","0","0","0","0","20121112","20121223"
"13","0","1","0","0","0","0","0","20121112","20121223"
"14","0","1","0","0","0","0","0","20121112","20121223"
"15","0","0","1","0","0","0","0","20121112","20121223"
"16","0","0","1","0","0","0","0","20121112","20121223"
"17","0","0","1","0","0","0","0","20121112","20121223"
"18","0","0","1","0","0","0","0","20121112","20121223"
"19","0","0","0","0","0","1","0","20121112","20121223"
"2","0","0","0","0","0","0","1","20121112","20121223"
"20","0","0","0","0","0","1","0","20121112","20121223"
"21","0","0","0","0","1","0","0","20121112","20121223"
"22","0","0","0","0","1","0","0","20121112","20121223"
"23","0","0","0","0","1","0","0","20121112","20121223"
"24","0","0","0","0","1","0","0","20121112","20121223"
"3","0","0","0","1","0","0","0","20121112","20121223"
"4","0","0","0","1","0","0","0","20121112","20121223"
"5","0","0","0","1","0","0","0","20121112","20121223"
"6","0","0","0","1","0","0","0","20121112","20121223"
"7","1","0","0","0","0","0","0","20121112","20121223"
"8","1","0","0","0","0","0","0","20121112","20121223"
"9","1","0","0","0","0","0","0","20121112","20121223"
