service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
59,1,1,1,1,1,0,0,20121112,20121207
60,0,0,0,0,0,1,1,20121108,20121208
1,1,1,1,1,1,1,1,20121209,20130206
0,1,1,1,1,1,1,1,20121108,20121208
68,1,1,1,1,1,1,1,20121108,20121209
537,1,1,1,1,1,1,1,20121210,20130206
58,1,1,1,1,1,1,1,20121108,20121208
2,1,1,1,1,1,1,1,20121108,20121208
76,0,0,0,0,0,1,1,20121110,20121208
75,1,1,1,1,1,0,0,20121108,20121207
10,0,0,0,0,0,1,0,20121110,20121208
673,1,1,1,1,1,1,1,20121108,20121208
674,0,0,0,0,0,1,1,20121110,20121208
74,1,1,1,1,1,1,0,20121108,20121208
87,0,0,0,0,0,0,1,20121111,20121202
675,0,0,0,0,0,0,1,20121111,20121125
16,1,1,1,1,1,0,1,20121108,20121207
697,1,1,1,1,1,0,0,20121210,20130206
689,0,0,0,0,0,0,1,20121209,20130106
690,0,0,0,0,0,0,1,20130113,20130203
692,1,1,1,1,1,0,0,20121108,20121207
693,1,1,1,1,1,0,0,20121210,20121221
695,1,1,1,1,1,0,0,20130121,20130206
696,1,1,1,1,1,0,0,20121224,20130118
698,1,1,1,1,1,1,0,20121108,20121208
701,0,1,0,0,0,0,0,20121225,20130101
699,1,1,1,1,1,1,0,20121210,20130206
1105,1,1,1,1,1,0,0,20121108,20121207
313,1,1,1,1,1,0,0,20121210,20130206
194,1,1,1,1,1,0,0,20121210,20130206
125,0,0,0,0,0,0,1,20121209,20130203
6051,1,1,1,1,1,1,0,20121210,20130206
29,0,0,0,0,0,1,0,20121215,20130202
6055,0,0,0,0,0,1,1,20121209,20130203
1111,0,0,0,0,0,1,1,20121110,20121208
11,0,0,0,0,0,0,1,20121111,20121202
6014,1,1,1,1,1,1,0,20121210,20130206
955,0,0,0,0,0,1,0,20121110,20130202
6052,1,1,1,1,1,0,0,20121108,20130206
6022,0,0,0,0,0,0,1,20121111,20130203
6018,1,1,1,1,1,0,0,20121108,20130206
6093,0,0,0,0,0,1,1,20121110,20130203
7171,1,1,1,1,1,0,0,20121119,20130206
394,1,1,1,1,1,0,0,20121108,20121116
2208,0,0,0,0,0,1,1,20121117,20121118
743,1,1,1,1,1,1,1,20121209,20130113
744,0,0,0,0,0,1,1,20130119,20130203
742,0,0,0,0,0,1,1,20121108,20121208
740,1,1,1,1,1,0,0,20121210,20121223
741,1,1,1,1,1,0,0,20130114,20130206
7435,1,0,0,0,0,0,0,20130114,20130204
7434,1,0,0,0,0,0,0,20121210,20130107
746,1,1,1,1,1,0,0,20121119,20121130
14,1,0,0,0,0,0,0,20121112,20121203
2319,1,0,0,0,0,0,0,20121210,20130204
996,0,0,0,0,0,0,1,20121209,20130203
334,0,0,0,0,0,1,0,20121215,20130202
1460,0,0,0,0,0,0,1,20121209,20130203
1458,1,1,1,1,1,0,0,20121210,20130206
5662,0,1,1,1,1,0,0,20121211,20130206
301,0,1,1,1,1,0,0,20121108,20121207
802,1,1,1,1,1,0,0,20121108,20130206
66,1,1,1,1,1,0,0,20121210,20130206
96,1,1,1,1,1,1,1,20121108,20130206
