service_id,date,exception_type
60,20121108,1
60,20121109,1
673,20121202,2
674,20121202,2
88,20121202,1
697,20130101,2
697,20121225,2
697,20121226,2
689,20121225,1
689,20121226,1
689,20130101,1
694,20121116,1
692,20121116,2
696,20130101,2
696,20121225,2
696,20121226,2
698,20121116,2
698,20121117,2
699,20130101,2
699,20121225,2
699,20121226,2
254,20121117,1
25,20121118,1
313,20121231,2
313,20130101,2
313,20121224,2
313,20121225,2
313,20121226,2
313,20121227,2
313,20121228,2
194,20130101,2
194,20121225,2
194,20121226,2
125,20121225,1
125,20121226,1
125,20130101,1
6051,20121231,2
6051,20130101,2
6051,20121224,2
6051,20121225,2
6051,20121226,2
6051,20121227,2
6051,20121228,2
6055,20121225,1
6055,20121226,1
6055,20130101,1
6014,20130101,2
6014,20121225,2
6014,20121226,2
6052,20121231,2
6052,20130101,2
6052,20121224,2
6052,20121225,2
6052,20121226,2
6052,20121227,2
6052,20121228,2
6022,20121225,1
6022,20121226,1
6022,20130101,1
6018,20130101,2
6018,20121225,2
6018,20121226,2
6093,20121225,1
6093,20121226,1
6093,20130101,1
7171,20121231,2
7171,20130101,2
7171,20121224,2
7171,20121225,2
7171,20121226,2
7171,20121227,2
7171,20121228,2
742,20121112,1
742,20121113,1
742,20121114,1
742,20121115,1
742,20121116,1
742,20121108,1
742,20121109,1
742,20121203,1
742,20121204,1
742,20121205,1
742,20121206,1
742,20121207,1
740,20130108,1
740,20121224,1
740,20121226,1
740,20121227,1
740,20121228,1
740,20121231,1
740,20130102,1
740,20130103,1
740,20130104,1
740,20130107,1
740,20130109,1
740,20130110,1
740,20130111,1
2319,20121226,1
2319,20130102,1
2319,20121224,2
2319,20121231,2
996,20130101,1
996,20121225,1
996,20121230,2
996,20121223,2
1460,20121225,1
1460,20130101,1
1458,20121225,2
1458,20130101,2
5662,20121224,1
5662,20121231,1
5662,20121225,2
5662,20121226,2
5662,20130101,2
5662,20130102,2
802,20121225,2
802,20130101,2
66,20121225,2
66,20130101,2
5821,20121225,1
5821,20130101,1
803,20121225,2
803,20130101,2
5819,20121112,2
5819,20121113,2
5819,20121114,2
5819,20121115,2
5819,20121116,2
5819,20121119,2
5819,20121120,2
5819,20121121,2
5819,20121122,2
5819,20121123,2
5816,20121108,1
5816,20121109,1
5816,20121112,1
5816,20121113,1
5816,20121114,1
5816,20121115,1
5816,20121116,1
5816,20121119,1
5816,20121120,1
5816,20121121,1
5816,20121122,1
5816,20121123,1
5816,20121126,1
5816,20121127,1
5816,20121128,1
5816,20121129,1
5816,20121130,1
5816,20121205,2
5816,20121206,2
5816,20121207,2
5816,20121225,2
5816,20130101,2
8118,20121225,2
8118,20130101,2
1341,20121225,2
1341,20130101,2
5820,20121225,1
5820,20130101,1
38,20121225,1
38,20130101,1
37,20121225,2
37,20130101,2
6783,20121126,1
6783,20121127,1
6783,20121128,1
6783,20121129,1
6783,20121130,1
6783,20121108,1
6783,20121109,1
6783,20121203,1
6783,20121204,1
6783,20121205,1
6783,20121206,1
6783,20121207,1
8097,20121108,1
8097,20121203,1
8097,20121204,1
8097,20121205,1
8097,20121206,1
8098,20121214,1
8098,20121217,1
8098,20121218,1
8098,20121219,1
8098,20121220,1
8098,20121221,1
8098,20121224,1
8098,20121226,1
8098,20121227,1
8098,20121228,1
8098,20121231,1
8098,20130102,1
8098,20130103,1
8098,20130104,1
8098,20130204,1
8098,20130205,1
8098,20130206,1
8098,20130125,1
8098,20130201,1
8095,20121203,2
8095,20121204,2
8095,20121205,2
8095,20121206,2
8092,20121225,2
8092,20130101,2
5817,20121208,2
8101,20130204,1
8101,20130205,1
8101,20130206,1
8101,20121207,1
8101,20121214,1
8101,20121217,1
8101,20121218,1
8101,20121219,1
8101,20121220,1
8101,20121221,1
8101,20130107,1
8101,20130108,1
8101,20130109,1
8101,20130110,1
8101,20130111,1
8101,20130114,1
8101,20130115,1
8101,20130116,1
8101,20130117,1
8101,20130118,1
8101,20121109,1
8101,20121224,1
8101,20121226,1
8101,20121227,1
8101,20121228,1
8101,20121231,1
8101,20130102,1
8101,20130103,1
