route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCETrain TER-87715136-85042218,OCE1,"","Frasne - Neuchâtel",,2,,,
OCETrain TER-85070003-87715136,OCE1,"","Bern - Frasne",,2,,,
OCETrain TER-84003251-84005306,OCE1,"","Hoek van holland - Rotterdam-Centraal",,2,,,
OCETrain TER-84003194-84001313,OCE1,"","'S-Hertogenbosch - Breda",,2,,,
OCETrain TER-88210060-87286005,OCE1,"","Anvers/Antwerpen C. - Lille Flandres",,2,,,
OCETrain TER-88920070-87286005,OCE1,"","Gand/Gent-Sint-Pieters - Lille Flandres",,2,,,
OCETrain TER-88960080-87286005,OCE1,"","Courtrai/Kortrijk - Lille Flandres",,2,,,
OCETrain TER-87286005-88850010,OCE1,"","Lille Flandres - Tournai",,2,,,
OCETrain TER-82006030-87212027,OCE1,"","Bettembourg - Strasbourg",,2,,,
OCETrain TER-82001000-87212027,OCE1,"","Luxembourg - Strasbourg",,2,,,
OCETrain TER-87182139-87191007,OCE1,"","St-Louis (Haut-Rhin) - Thionville",,2,,,
OCETrain TER-85000109-82001000,OCE1,"","Basel-SBB - Luxembourg",,2,,,
OCETrain TER-85000109-87191007,OCE1,"","Basel-SBB - Thionville",,2,,,
OCETrain TER-82001000-87182063,OCE1,"","Luxembourg - Mulhouse",,2,,,
OCETrain TER-87212027-87191007,OCE1,"","Strasbourg - Thionville",,2,,,
OCETrain TER-87212225-87212027,OCE1,"","Saverne - Strasbourg",,2,,,
OCETrain TER-87713040-87118000,OCE1,"","Dijon-Ville - Troyes",,2,,,
OCETrain TER-87142125-87118000,OCE1,"","Culmont-Chalindrey - Troyes",,2,,,
OCETrain TER-87447680-87391102,OCE1,"","Granville - Paris-Montp.3-Vaug.",,2,,,
OCETrain TER-87444539-87391102,OCE1,"","Argentan - Paris-Montp.3-Vaug.",,2,,,
OCETrain TER-87396002-87391003,OCE1,"","Le Mans - Paris-Montparnasse 1-2",,2,,,
OCETrain TER-87394007-87391003,OCE1,"","Chartres - Paris-Montparnasse 1-2",,2,,,
OCETrain TER-87396002-87391102,OCE1,"","Le Mans - Paris-Montp.3-Vaug.",,2,,,
OCETrain TER-87391003-87393314,OCE1,"","Paris-Montparnasse 1-2 - Rambouillet",,2,,,
OCETrain TER-87394296-87391003,OCE1,"","Nogent-le-Rotrou - Paris-Montparnasse 1-2",,2,,,
OCETrain TER-87543009-87571000,OCE1,"","Orléans - Tours",,2,,,
OCETrain TER-87722025-87571000,OCE1,"","Lyon-Perrache - Tours",,2,,,
OCETrain TER-87763607-87761007,OCE1,"","Briançon - Valence-Ville",,2,,,
OCETrain TER-87763607-87761650,OCE1,"","Briançon - Romans-Bourg-de-Péage",,2,,,
OCETrain TER-87763607-87761783,OCE1,"","Briançon - Crest",,2,,,
OCETrain TER-87763003-87761650,OCE1,"","Gap - Romans-Bourg-de-Péage",,2,,,
OCETrain TER-87763003-87761007,OCE1,"","Gap - Valence-Ville",,2,,,
OCETrain TER-87763607-87751008,OCE1,"","Briançon - Marseille-St-Charles",,2,,,
OCETrain TER-87763003-87751271,OCE1,"","Gap - La Brillane-Oraison",,2,,,
OCETrain TER-87763607-87751230,OCE1,"","Briançon - Château-Arnoux-St-Auban",,2,,,
OCETrain TER-87751271-87763300,OCE1,"","La Brillane-Oraison - Veynes-Dévoluy",,2,,,
OCETrain TER-87763607-87763003,OCE1,"","Briançon - Gap",,2,,,
OCETrain TER-87763607-87751271,OCE1,"","Briançon - La Brillane-Oraison",,2,,,
OCETrain TER-87751230-87763003,OCE1,"","Château-Arnoux-St-Auban - Gap",,2,,,
OCETrain TER-87763003-87751008,OCE1,"","Gap - Marseille-St-Charles",,2,,,
OCETrain TER-87751008-87763300,OCE1,"","Marseille-St-Charles - Veynes-Dévoluy",,2,,,
OCETrain TER-87763607-87763300,OCE1,"","Briançon - Veynes-Dévoluy",,2,,,
OCETrain TER-87751008-87751370,OCE1,"","Marseille-St-Charles - Meyrargues",,2,,,
OCETrain TER-87751404-87751008,OCE1,"","Aix-en-Provence - Marseille-St-Charles",,2,,,
OCETrain TER-87751008-87756056,OCE1,"","Marseille-St-Charles - Nice-Ville",,2,,,
OCETrain TER-87747006-87761007,OCE1,"","Grenoble - Valence-Ville",,2,,,
OCETrain TER-87741009-87761007,OCE1,"","Chambéry-Chal.-les-Eaux - Valence-Ville",,2,,,
OCETrain TER-87741009-87747329,OCE1,"","Chambéry-Chal.-les-Eaux - Moirans",,2,,,
OCETrain TER-87747402-87747329,OCE1,"","Grenoble U.-Gières - Moirans",,2,,,
OCETrain TER-87746008-87747329,OCE1,"","Annecy - Moirans",,2,,,
OCETrain TER-87746008-87761007,OCE1,"","Annecy - Valence-Ville",,2,,,
OCETrain TER-87746008-87747006,OCE1,"","Annecy - Grenoble",,2,,,
OCETrain TER-87746008-87741181,OCE1,"","Annecy - Montmélian",,2,,,
OCETrain TER-87746008-87741009,OCE1,"","Annecy - Chambéry-Chal.-les-Eaux",,2,,,
OCETrain TER-87746008-87765008,OCE1,"","Annecy - Avignon-Centre",,2,,,
OCETrain TER-87747006-87747329,OCE1,"","Grenoble - Moirans",,2,,,
OCETrain TER-87745679-87747006,OCE1,"","Evian-les-Bains - Grenoble",,2,,,
OCETrain TER-87745679-87741181,OCE1,"","Evian-les-Bains - Montmélian",,2,,,
OCETrain TER-87745679-87761007,OCE1,"","Evian-les-Bains - Valence-Ville",,2,,,
OCETrain TER-87745679-87747329,OCE1,"","Evian-les-Bains - Moirans",,2,,,
OCETrain TER-87741009-87747006,OCE1,"","Chambéry-Chal.-les-Eaux - Grenoble",,2,,,
OCETrain TER-87747006-87723197,OCE1,"","Grenoble - Lyon-Part-Dieu",,2,,,
OCETrain TER-87723197-87751008,OCE1,"","Lyon-Part-Dieu - Marseille-St-Charles",,2,,,
OCETrain TER-87765008-87723197,OCE1,"","Avignon-Centre - Lyon-Part-Dieu",,2,,,
OCETrain TER-87765008-87751008,OCE1,"","Avignon-Centre - Marseille-St-Charles",,2,,,
OCETrain TER-87713040-87686667,OCE1,"","Dijon-Ville - Paris-Bercy",,2,,,
OCETrain TER-87723197-87683003,OCE1,"","Lyon-Part-Dieu - Sens",,2,,,
OCETrain TER-87723197-87686667,OCE1,"","Lyon-Part-Dieu - Paris-Bercy",,2,,,
OCETrain TER-87725689-87686667,OCE1,"","Mâcon-Ville - Paris-Bercy",,2,,,
OCETrain TER-87713040-87725689,OCE1,"","Dijon-Ville - Mâcon-Ville",,2,,,
OCETrain TER-87713040-87723197,OCE1,"","Dijon-Ville - Lyon-Part-Dieu",,2,,,
OCETrain TER-87722025-87686667,OCE1,"","Lyon-Perrache - Paris-Bercy",,2,,,
OCETrain TER-87713040-87722025,OCE1,"","Dijon-Ville - Lyon-Perrache",,2,,,
OCETrain TER-87723197-87725689,OCE1,"","Lyon-Part-Dieu - Mâcon-Ville",,2,,,
OCETrain TER-87741009-87723197,OCE1,"","Chambéry-Chal.-les-Eaux - Lyon-Part-Dieu",,2,,,
OCETrain TER-87741132-87741009,OCE1,"","Aix-les-Bains-le-Revard - Chambéry-Chal.-les-Eaux",,2,,,
OCETrain TER-87746008-87723197,OCE1,"","Annecy - Lyon-Part-Dieu",,2,,,
OCETrain TER-87723197-87742007,OCE1,"","Lyon-Part-Dieu - Modane",,2,,,
OCETrain TER-87741009-87742007,OCE1,"","Chambéry-Chal.-les-Eaux - Modane",,2,,,
OCETrain TER-87741793-87723197,OCE1,"","Bourg-St-Maurice - Lyon-Part-Dieu",,2,,,
OCETrain TER-87741793-87741009,OCE1,"","Bourg-St-Maurice - Chambéry-Chal.-les-Eaux",,2,,,
OCETrain TER-87746784-87746875,OCE1,"","Chamonix-Mont-Blanc - Vallorcine",,2,,,
OCETrain TER-87746479-87746875,OCE1,"","St-Gervais-L-B-Le-Fayet - Vallorcine",,2,,,
OCETrain TER-87746784-87746479,OCE1,"","Chamonix-Mont-Blanc - St-Gervais-L-B-Le-Fayet",,2,,,
OCETrain TER-88716050-87295014,OCE1,"","Erquelinnes - Jeumont",,2,,,
OCETrain TER-87286005-88857040,OCE1,"","Lille Flandres - Mouscron/Moeskroen",,2,,,
OCETrain TER-87286005-87286542,OCE1,"","Lille Flandres - Tourcoing",,2,,,
OCETrain TER-88960080-88857040,OCE1,"","Courtrai/Kortrijk - Mouscron/Moeskroen",,2,,,
OCETrain TER-87286872-87286005,OCE1,"","Baisieux - Lille Flandres",,2,,,
OCETrain TER-87286864-87286005,OCE1,"","Ascq - Lille Flandres",,2,,,
OCETrain TER-85000109-87212027,OCE1,"","Basel-SBB - Strasbourg",,2,,,
OCETrain TER-87415018-87411017,OCE1,"","Dieppe - Rouen-Rive-Droite",,2,,,
OCETrain TER-87672725-87672006,OCE1,"","Oloron-Ste-Marie - Pau",,2,,,
OCETrain TER-87756056-83003400,OCE1,"","Nice-Ville - Ventimiglia",,2,,,
OCETrain TER-87756486-87756056,OCE1,"","Menton - Nice-Ville",,2,,,
OCETrain TER-87755629-87755009,OCE1,"","Hyères - Toulon",,2,,,
OCETrain TER-87755629-87751008,OCE1,"","Hyères - Marseille-St-Charles",,2,,,
OCETrain TER-87751008-87755009,OCE1,"","Marseille-St-Charles - Toulon",,2,,,
OCETrain TER-87756056-87756882,OCE1,"","Nice-Ville - Tende",,2,,,
OCETrain TER-87756833-87756882,OCE1,"","Breil-sur-Roya - Tende",,2,,,
OCETrain TER-87611483-87784686,OCE1,"","Latour-de-Carol-Enveitg - Villefranche-Vernet-l.B",,2,,,
OCETrain TER-87784819-87784686,OCE1,"","Font-Romeu-Odeillo-Via - Villefranche-Vernet-l.B",,2,,,
OCETrain TER-87192039-87192237,OCE1,"","Metz-Ville - Rémilly",,2,,,
OCETrain TER-87193821-87192039,OCE1,"","Bitche - Metz-Ville",,2,,,
OCETrain TER-87192039-87193615,OCE1,"","Metz-Ville - Sarreguemines",,2,,,
OCETrain TER-87193250-87193615,OCE1,"","Bening - Sarreguemines",,2,,,
OCETrain TER-87193250-87193821,OCE1,"","Bening - Bitche",,2,,,
OCETrain TER-87193003-87192039,OCE1,"","Forbach - Metz-Ville",,2,,,
OCETrain TER-87193250-87192039,OCE1,"","Bening - Metz-Ville",,2,,,
OCETrain TER-87193615-87212027,OCE1,"","Sarreguemines - Strasbourg",,2,,,
OCETrain TER-80253914-87212027,OCE1,"","Saarbrucken-Hbf - Strasbourg",,2,,,
OCETrain TER-87192039-80253914,OCE1,"","Metz-Ville - Saarbrucken-Hbf",,2,,,
OCETrain TER-87193003-80253914,OCE1,"","Forbach - Saarbrucken-Hbf",,2,,,
