route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCETrain TER-87715136-85042218,59,OCECF096455F050013866,"96455",1,,
OCETrain TER-87715136-85042218,60,OCECF096455F060013867,"96455",1,,
OCETrain TER-87715136-85042218,1,OCESW096455F0300176764,"96455",1,,
OCETrain TER-87715136-85042218,1,OCESW096436F0300176760,"96436",0,,
OCETrain TER-87715136-85042218,0,OCECF096436F03001-3287-00,"96436",0,,
OCETrain TER-85070003-87715136,0,OCECF096454F030013865,"96454",1,,
OCETrain TER-85070003-87715136,68,OCESW096454F0200176763,"96454",1,,
OCETrain TER-85070003-87715136,537,OCESW096454F0100176762,"96454",1,,
OCETrain TER-85070003-87715136,1,OCESW096439F0100176761,"96439",0,,
OCETrain TER-85070003-87715136,58,OCECF096439F050043864,"96439",0,,
OCETrain TER-84003251-84005306,2,OCENS004172F0100114981,"4172",0,,
OCETrain TER-84003251-84005306,2,OCENS004142F0100114951,"4142",0,,
OCETrain TER-84003194-84001313,2,OCENS013651F0100115933,"13651",1,,
OCETrain TER-88210060-87286005,76,OCESB000708F0300118802,"708",1,,
OCETrain TER-88210060-87286005,75,OCESB000704F0100118800,"704",1,,
OCETrain TER-88210060-87286005,75,OCESB000712F0400118806,"712",1,,
OCETrain TER-88210060-87286005,76,OCESB000712F0300118805,"712",1,,
OCETrain TER-88210060-87286005,76,OCESB000709F0300118804,"709",1,,
OCETrain TER-88210060-87286005,75,OCESB000709F0200118803,"709",1,,
OCETrain TER-88920070-87286005,10,OCESB000704F0200118801,"704",1,,
OCETrain TER-88960080-87286005,673,OCESN019804F0100128930,"19804",1,,
OCETrain TER-88960080-87286005,75,OCESB019704F0100120583,"19704",1,,
OCETrain TER-88960080-87286005,674,OCESB019716F0100120588,"19716",1,,
OCETrain TER-88960080-87286005,674,OCESN019716F0200128892,"19716",1,,
OCETrain TER-88960080-87286005,75,OCESN019822F0100128944,"19822",1,,
OCETrain TER-88960080-87286005,75,OCESN019704F0100128867,"19704",1,,
OCETrain TER-88960080-87286005,673,OCESB019710F0100120586,"19710",1,,
OCETrain TER-88960080-87286005,2,OCESN019726F0100128911,"19726",1,,
