route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"0001","1","1","Cesson-Sévigné (Champs Blancs) <> Chantepie (Rosa Parks)","Majeure","3","","90C01B","FFFFFF"
"0002","1","2","Grand Quartier <> La Poterie / Haut Sancé","Majeure","3","","0083cd","ffffff"
"0003","1","3","Saint-Laurent <> Alma","Majeure","3","","00843a","ffffff"
"0004","1","4","Beauregard <> Beaulieu Atalante","Majeure","3","","6f177e","ffffff"
"0005","1","5","Patton <> Lycée Bréquigny","Majeure","3","","eb8200","ffffff"
"0006","1","6","Cesson-Sévigné (Base de Loisirs) <> Saint-Jacques-de-la-Lande (Morinais)","Majeure","3","","66bfd3","ffffff"
"0008","1","8","Saint-Grégoire <> Rennes (La Poterie)","Majeure","3","","B8639F","FFFFFF"
"0009","1","9","Saint-Laurent <> Cleunay","Majeure","3","","004b9b","ffffff"
"0011","1","11","Z.I. Ouest / Stade Rennais <> Saint-Saëns / Z.I. Sud-Est","Urbaine","3","","DC81AE","FFFFFF"
"0030","1","30","Stade Rennais <> Cesson-Sévigné (Rigourdière)","Inter-quartiers","3","","fef466","df171c"
"0031","1","31","Villejean Churchill <> Beaulieu Ecole de Chimie","Inter-quartiers","3","","FEF466","DF171C"
"0032","1","32","Triangle <> Beaulieu Atalante","Inter-quartiers","3","","fef466","df171c"
"0033","1","33","Saint-Jacques-de-la-Lande / Bréquigny <> La Poterie / Chantepie (Cucé)","Inter-quartiers","3","","fef466","df171c"
"0034","1","34","Z.I. Sud-Est / La Poterie <> Cesson-Sévigné (Lycée Saint-Etienne)","Inter-quartiers","3","","fef466","df171c"
"0035","1","35","Cesson-Sévigné (Champs Blancs) <> Cesson-Sévigné (Gare)","Inter-quartiers","3","","FEF466","DF171C"
"0040","1","40","République <> Beaulieu Atalante","Express urbaine","3","","FCE000","DF171C"
"0041","1","41","Gares <> ZAC Saint-Sulpice","Express urbaine","3","","FCE000","00903B"
"0042","1","42","Gares <> Z.I. Sud-Est","Express urbaine","3","","FCE000","0057A6"
"0044","1","44","République <> Joliot-Curie","Express urbaine","3","","fce000","e10077"
"0050","1","50","Rennes (République) <> Thorigné-Fouillard","Suburbaine","3","","8ea1cf","ffffff"
"0051","1","51","Rennes (Hoche) <> Betton","Suburbaine","3","","93007C","FFFFFF"
"0052","1","52","Saint-Gilles / Pacé <> Rennes (Villejean-Université) <> Montgermont / La Chapelle-des-Fougeretz","Suburbaine","3","","007a76","ffffff"
"0053","1","53","Rennes (République) <> Vezin-le-Coquet / L'Hermitage / La Chapelle-Thouarault","Suburbaine","3","","d01733","ffffff"
