trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","19","0052","52 | Pacé / Saint-Gilles","0",""
"10","19","0052","52 | La-Chapelle-des-Fougeretz","1",""
"100","13","0053","53 | Rennes République","0",""
"1000","22","0054","54 | Le Rheu / Chavagne","0",""
"10000","9","0003","3 | Alma","0",""
"10001","13","0003","3 | Alma","0",""
"10002","17","0003","3 | Alma","0",""
"10003","23","0003","3 | Alma","0",""
"10004","5","0003","3 | Alma","0",""
"10005","9","0003","3 | Alma","0",""
"10006","13","0003","3 | Alma","0",""
"10007","17","0003","3 | Alma","0",""
"10008","23","0003","3 | Alma","0",""
"10009","5","0003","3 | Alma","0",""
"1001","3","0055","55 | Rennes Charles de Gaulle","1",""
"10010","9","0003","3 | Alma","0",""
"10011","13","0003","3 | Alma","0",""
"10012","17","0003","3 | Alma","0",""
"10013","23","0003","3 | Alma","0",""
"10014","5","0003","3 | Alma","0",""
"10015","9","0003","3 | Alma","0",""
"10016","13","0003","3 | Alma","0",""
"10017","17","0003","3 | Alma","0",""
"10018","23","0003","3 | Alma","0",""
"10019","5","0003","3 | Alma","0",""
"1002","7","0055","55 | Rennes Charles de Gaulle","1",""
"10020","9","0003","3 | Alma","0",""
"10021","13","0003","3 | Alma","0",""
"10022","17","0003","3 | Alma","0",""
"10023","23","0003","3 | Alma","0",""
"10024","5","0003","3 | Alma","0",""
"10025","9","0003","3 | Alma","0",""
"10026","13","0003","3 | Alma","0",""
"10027","17","0003","3 | Alma","0",""
"10028","23","0003","3 | Alma","0",""
"10029","5","0003","3 | Alma","0",""
"1003","11","0055","55 | Rennes Charles de Gaulle","1",""
"10030","9","0003","3 | Alma","0",""
"10031","13","0003","3 | Alma","0",""
"10032","17","0003","3 | Alma","0",""
"10033","23","0003","3 | Alma","0",""
"10034","5","0003","3 | Alma","0",""
"10035","9","0003","3 | Alma","0",""
"10036","13","0003","3 | Alma","0",""
"10037","17","0003","3 | Alma","0",""
"10038","23","0003","3 | Alma","0",""
"10039","5","0003","3 | Alma","0",""
"1004","15","0055","55 | Rennes Charles de Gaulle","1",""
"10040","9","0003","3 | Alma","0",""
"10041","13","0003","3 | Alma","0",""
"10042","17","0003","3 | Alma","0",""
"10043","23","0003","3 | Alma","0",""
"10044","5","0003","3 | Alma","0",""
"10045","9","0003","3 | Alma","0",""
"10046","13","0003","3 | Alma","0",""
"10047","17","0003","3 | Alma","0",""
"10048","23","0003","3 | Alma","0",""
"10049","5","0003","3 | Alma","0",""
"1005","21","0055","55 | Rennes Charles de Gaulle","1",""
"10050","9","0003","3 | Alma","0",""
"10051","13","0003","3 | Alma","0",""
"10052","17","0003","3 | Alma","0",""
"10053","23","0003","3 | Alma","0",""
"10054","5","0003","3 | Alma","0",""
"10055","9","0003","3 | Alma","0",""
"10056","13","0003","3 | Alma","0",""
"10057","17","0003","3 | Alma","0",""
"10058","23","0003","3 | Alma","0",""
"10059","5","0003","3 | Alma","0",""
"1006","3","0055","55 | Rennes Charles de Gaulle","1",""
"10060","9","0003","3 | Alma","0",""
"10061","13","0003","3 | Alma","0",""
"10062","17","0003","3 | Alma","0",""
"10063","23","0003","3 | Alma","0",""
"10064","5","0003","3 | Saint-Laurent","1",""
"10065","9","0003","3 | Saint-Laurent","1",""
"10066","13","0003","3 | Saint-Laurent","1",""
"10067","17","0003","3 | Saint-Laurent","1",""
"10068","23","0003","3 | Saint-Laurent","1",""
"10069","5","0003","3 | Saint-Laurent","1",""
"1007","7","0055","55 | Rennes Charles de Gaulle","1",""
"10070","9","0003","3 | Saint-Laurent","1",""
"10071","13","0003","3 | Saint-Laurent","1",""
"10072","17","0003","3 | Saint-Laurent","1",""
"10073","23","0003","3 | Saint-Laurent","1",""
"10074","5","0003","3 | Saint-Laurent","1",""
"10075","9","0003","3 | Saint-Laurent","1",""
"10076","13","0003","3 | Saint-Laurent","1",""
"10077","17","0003","3 | Saint-Laurent","1",""
"10078","23","0003","3 | Saint-Laurent","1",""
"10079","5","0003","3 | Saint-Laurent","1",""
"1008","11","0055","55 | Rennes Charles de Gaulle","1",""
"10080","9","0003","3 | Saint-Laurent","1",""
"10081","13","0003","3 | Saint-Laurent","1",""
"10082","17","0003","3 | Saint-Laurent","1",""
"10083","23","0003","3 | Saint-Laurent","1",""
"10084","5","0003","3 | Saint-Laurent","1",""
"10085","9","0003","3 | Saint-Laurent","1",""
"10086","13","0003","3 | Saint-Laurent","1",""
"10087","17","0003","3 | Saint-Laurent","1",""
"10088","23","0003","3 | Saint-Laurent","1",""
"10089","5","0003","3 | Saint-Laurent","1",""
"1009","15","0055","55 | Rennes Charles de Gaulle","1",""
"10090","9","0003","3 | Saint-Laurent","1",""
"10091","13","0003","3 | Saint-Laurent","1",""
"10092","17","0003","3 | Saint-Laurent","1",""
"10093","23","0003","3 | Saint-Laurent","1",""
"10094","5","0003","3 | Saint-Laurent","1",""
"10095","9","0003","3 | Saint-Laurent","1",""
"10096","13","0003","3 | Saint-Laurent","1",""
"10097","17","0003","3 | Saint-Laurent","1",""
"10098","23","0003","3 | Saint-Laurent","1",""
"10099","5","0003","3 | Saint-Laurent","1",""
"101","17","0053","53 | Rennes République","0",""
"1010","21","0055","55 | Rennes Charles de Gaulle","1",""
"10100","9","0003","3 | Saint-Laurent","1",""
"10101","13","0003","3 | Saint-Laurent","1",""
"10102","17","0003","3 | Saint-Laurent","1",""
"10103","23","0003","3 | Saint-Laurent","1",""
"10104","5","0003","3 | Saint-Laurent","1",""
"10105","9","0003","3 | Saint-Laurent","1",""
"10106","13","0003","3 | Saint-Laurent","1",""
"10107","17","0003","3 | Saint-Laurent","1",""
"10108","23","0003","3 | Saint-Laurent","1",""
"10109","5","0003","3 | Saint-Laurent","1",""
"1011","3","0055","55 | Mordelles","0",""
"10110","9","0003","3 | Saint-Laurent","1",""
"10111","13","0003","3 | Saint-Laurent","1",""
"10112","17","0003","3 | Saint-Laurent","1",""
"10113","23","0003","3 | Saint-Laurent","1",""
"10114","5","0003","3 | Saint-Laurent","1",""
"10115","9","0003","3 | Saint-Laurent","1",""
"10116","13","0003","3 | Saint-Laurent","1",""
"10117","17","0003","3 | Saint-Laurent","1",""
"10118","23","0003","3 | Saint-Laurent","1",""
"10119","5","0003","3 | Saint-Laurent","1",""
"1012","7","0055","55 | Mordelles","0",""
"10120","9","0003","3 | Saint-Laurent","1",""
"10121","13","0003","3 | Saint-Laurent","1",""
"10122","17","0003","3 | Saint-Laurent","1",""
"10123","23","0003","3 | Saint-Laurent","1",""
"10124","5","0003","3 | Saint-Laurent","1",""
"10125","9","0003","3 | Saint-Laurent","1",""
"10126","13","0003","3 | Saint-Laurent","1",""
"10127","17","0003","3 | Saint-Laurent","1",""
"10128","23","0003","3 | Saint-Laurent","1",""
"10129","5","0003","3 | Saint-Laurent","1",""
"1013","11","0055","55 | Mordelles","0",""
"10130","9","0003","3 | Saint-Laurent","1",""
"10131","13","0003","3 | Saint-Laurent","1",""
"10132","17","0003","3 | Saint-Laurent","1",""
"10133","23","0003","3 | Saint-Laurent","1",""
"10134","5","0003","3 | Saint-Laurent","1",""
"10135","9","0003","3 | Saint-Laurent","1",""
"10136","13","0003","3 | Saint-Laurent","1",""
"10137","17","0003","3 | Saint-Laurent","1",""
"10138","23","0003","3 | Saint-Laurent","1",""
"10139","5","0003","3 | Saint-Laurent","1",""
"1014","15","0055","55 | Mordelles","0",""
"10140","9","0003","3 | Saint-Laurent","1",""
"10141","13","0003","3 | Saint-Laurent","1",""
"10142","17","0003","3 | Saint-Laurent","1",""
"10143","23","0003","3 | Saint-Laurent","1",""
"10144","5","0003","3 | Saint-Laurent","1",""
"10145","9","0003","3 | Saint-Laurent","1",""
"10146","13","0003","3 | Saint-Laurent","1",""
"10147","17","0003","3 | Saint-Laurent","1",""
"10148","23","0003","3 | Saint-Laurent","1",""
"10149","5","0003","3 | Saint-Laurent","1",""
"1015","21","0055","55 | Mordelles","0",""
"10150","9","0003","3 | Saint-Laurent","1",""
"10151","13","0003","3 | Saint-Laurent","1",""
"10152","17","0003","3 | Saint-Laurent","1",""
"10153","23","0003","3 | Saint-Laurent","1",""
"10154","5","0003","3 | Saint-Laurent","1",""
"10155","9","0003","3 | Saint-Laurent","1",""
"10156","13","0003","3 | Saint-Laurent","1",""
"10157","17","0003","3 | Saint-Laurent","1",""
"10158","23","0003","3 | Saint-Laurent","1",""
"10159","5","0003","3 | Saint-Laurent","1",""
"1016","3","0055","55 | Le Verger","0",""
"10160","9","0003","3 | Saint-Laurent","1",""
"10161","13","0003","3 | Saint-Laurent","1",""
"10162","17","0003","3 | Saint-Laurent","1",""
"10163","23","0003","3 | Saint-Laurent","1",""
"10164","5","0003","3 | Saint-Laurent","1",""
"10165","9","0003","3 | Saint-Laurent","1",""
"10166","13","0003","3 | Saint-Laurent","1",""
"10167","17","0003","3 | Saint-Laurent","1",""
"10168","23","0003","3 | Saint-Laurent","1",""
"10169","5","0003","3 | Saint-Laurent","1",""
"1017","7","0055","55 | Le Verger","0",""
"10170","9","0003","3 | Saint-Laurent","1",""
"10171","13","0003","3 | Saint-Laurent","1",""
"10172","17","0003","3 | Saint-Laurent","1",""
"10173","23","0003","3 | Saint-Laurent","1",""
"10174","5","0003","3 | Saint-Laurent","1",""
"10175","9","0003","3 | Saint-Laurent","1",""
"10176","13","0003","3 | Saint-Laurent","1",""
"10177","17","0003","3 | Saint-Laurent","1",""
"10178","23","0003","3 | Saint-Laurent","1",""
"10179","5","0003","3 | Saint-Laurent","1",""
"1018","11","0055","55 | Le Verger","0",""
"10180","9","0003","3 | Saint-Laurent","1",""
"10181","13","0003","3 | Saint-Laurent","1",""
"10182","17","0003","3 | Saint-Laurent","1",""
"10183","23","0003","3 | Saint-Laurent","1",""
"10184","5","0003","3 | Alma","0",""
"10185","9","0003","3 | Alma","0",""
"10186","13","0003","3 | Alma","0",""
"10187","17","0003","3 | Alma","0",""
"10188","23","0003","3 | Alma","0",""
"10189","5","0003","3 | Alma","0",""
"1019","15","0055","55 | Le Verger","0",""
"10190","9","0003","3 | Alma","0",""
"10191","13","0003","3 | Alma","0",""
"10192","17","0003","3 | Alma","0",""
"10193","23","0003","3 | Alma","0",""
"10194","5","0003","3 | Alma","0",""
"10195","9","0003","3 | Alma","0",""
"10196","13","0003","3 | Alma","0",""
"10197","17","0003","3 | Alma","0",""
"10198","23","0003","3 | Alma","0",""
"10199","5","0003","3 | Alma","0",""
"102","23","0053","53 | Rennes République","0",""
"1020","21","0055","55 | Le Verger","0",""
"10200","9","0003","3 | Alma","0",""
"10201","13","0003","3 | Alma","0",""
"10202","17","0003","3 | Alma","0",""
"10203","23","0003","3 | Alma","0",""
"10204","5","0003","3 | Alma","0",""
"10205","9","0003","3 | Alma","0",""
"10206","13","0003","3 | Alma","0",""
"10207","17","0003","3 | Alma","0",""
"10208","23","0003","3 | Alma","0",""
"10209","5","0003","3 | Alma","0",""
"1021","3","0055","55 | Mordelles","0",""
"10210","9","0003","3 | Alma","0",""
"10211","13","0003","3 | Alma","0",""
"10212","17","0003","3 | Alma","0",""
"10213","23","0003","3 | Alma","0",""
"10214","5","0003","3 | Alma","0",""
"10215","9","0003","3 | Alma","0",""
"10216","13","0003","3 | Alma","0",""
"10217","17","0003","3 | Alma","0",""
"10218","23","0003","3 | Alma","0",""
"10219","5","0003","3 | Alma","0",""
"1022","7","0055","55 | Mordelles","0",""
"10220","9","0003","3 | Alma","0",""
"10221","13","0003","3 | Alma","0",""
"10222","17","0003","3 | Alma","0",""
"10223","23","0003","3 | Alma","0",""
"10224","5","0003","3 | Alma","0",""
"10225","9","0003","3 | Alma","0",""
"10226","13","0003","3 | Alma","0",""
"10227","17","0003","3 | Alma","0",""
"10228","23","0003","3 | Alma","0",""
"10229","5","0003","3 | Alma","0",""
"1023","11","0055","55 | Mordelles","0",""
"10230","9","0003","3 | Alma","0",""
"10231","13","0003","3 | Alma","0",""
"10232","17","0003","3 | Alma","0",""
"10233","23","0003","3 | Alma","0",""
"10234","5","0003","3 | Alma","0",""
"10235","9","0003","3 | Alma","0",""
"10236","13","0003","3 | Alma","0",""
"10237","17","0003","3 | Alma","0",""
"10238","23","0003","3 | Alma","0",""
"10239","5","0003","3 | Alma","0",""
"1024","15","0055","55 | Mordelles","0",""
"10240","9","0003","3 | Alma","0",""
"10241","13","0003","3 | Alma","0",""
"10242","17","0003","3 | Alma","0",""
"10243","23","0003","3 | Alma","0",""
"10244","5","0003","3 | Alma","0",""
"10245","9","0003","3 | Alma","0",""
"10246","13","0003","3 | Alma","0",""
"10247","17","0003","3 | Alma","0",""
"10248","23","0003","3 | Alma","0",""
"10249","5","0003","3 | Alma","0",""
"1025","21","0055","55 | Mordelles","0",""
"10250","9","0003","3 | Alma","0",""
"10251","13","0003","3 | Alma","0",""
"10252","17","0003","3 | Alma","0",""
"10253","23","0003","3 | Alma","0",""
"10254","5","0003","3 | Alma","0",""
"10255","9","0003","3 | Alma","0",""
"10256","13","0003","3 | Alma","0",""
"10257","17","0003","3 | Alma","0",""
"10258","23","0003","3 | Alma","0",""
"10259","5","0003","3 | Alma","0",""
"1026","3","0055","55 | Le Verger","0",""
"10260","9","0003","3 | Alma","0",""
"10261","13","0003","3 | Alma","0",""
"10262","17","0003","3 | Alma","0",""
"10263","23","0003","3 | Alma","0",""
"10264","5","0003","3 | Alma","0",""
"10265","9","0003","3 | Alma","0",""
"10266","13","0003","3 | Alma","0",""
"10267","17","0003","3 | Alma","0",""
"10268","23","0003","3 | Alma","0",""
"10269","5","0003","3 | Alma","0",""
